profile,task,mode,backend,round_index,batch_size,input_width,output_width,processed_bits,block_width,lut_table_bytes,stream_chunk_size,stream_chunk_plan,active_input_bytes,l1_fit_active_input,warmups,repeats,timed,correctness_passed,skip_reason,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,samples_s,elapsed_s,affinity_status,seed
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,0,10,255,16,2550,,,,,318.75,True,10,15,True,True,,7.609999738633633e-05,7.51999905332923e-05,0.0004670999478548765,0.00010122758844736103,1.3301917467021664,33.508542543759006,0.1314060491912118,29.843136229935816,7.73000065237e-05;7.60999973863e-05;7.52999912947e-05;7.51999905333e-05;7.54999928176e-05;7.5799995102e-05;7.62999989092e-05;7.58999958634e-05;7.51999905333e-05;7.54999928176e-05;0.000121099990793;0.000162899959832;8.25000461191e-05;0.000467099947855;8.52000666782e-05,0.00489499990362674,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,0,10,255,16,2550,14,622592,,,318.75,True,10,15,True,True,,4.870002157986164e-05,4.800001624971628e-05,0.0018065000185742974,0.00045382104271983063,9.31870311341903,52.36137310161834,0.20533871804556214,19.098047678377114,4.89000231028e-05;4.87000215799e-05;4.87000215799e-05;4.82999021187e-05;4.82000177726e-05;4.81000170112e-05;4.80000162497e-05;4.81000170112e-05;0.00180650001857;5.2799936384e-05;4.92000253871e-05;4.89000231028e-05;4.88000223413e-05;4.86999051645e-05;4.87000215799e-05,0.010534800007008016,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,0,10,255,16,2550,,,1000,10,318.75,True,10,15,True,True,,7.589999586343765e-05,7.499998901039362e-05,0.002116299932822585,0.0005267747528444908,6.940379203607406,33.59683977569727,0.13175231284587163,29.76470426017163,7.50999897718e-05;7.62999989092e-05;7.60999973863e-05;7.58999958634e-05;7.63999996707e-05;7.61999981478e-05;0.00211629993282;7.97000247985e-05;7.58999958634e-05;7.59999966249e-05;7.5799995102e-05;7.54999928176e-05;7.49999890104e-05;7.58999958634e-05;7.5799995102e-05,0.004369799979031086,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,0,10,255,16,2550,14,622592,1000,10,318.75,True,10,15,True,True,,4.840001929551363e-05,4.7900015488266945e-05,4.8900023102760315e-05,2.497603683891155e-07,0.005160336132598746,52.685929409048164,0.20661148787862024,18.980399723730834,4.84000192955e-05;4.84000192955e-05;4.8500020057e-05;4.84999036416e-05;4.82000177726e-05;4.89000231028e-05;4.87000215799e-05;4.87000215799e-05;4.85999044031e-05;4.8500020057e-05;4.84000192955e-05;4.79000154883e-05;4.84000192955e-05;4.81000170112e-05;4.82999021187e-05,0.01144679996650666,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,0,30,255,16,7650,,,,,956.25,True,10,15,True,True,,0.00019690010230988264,0.00019200006499886513,0.0022926999954506755,0.0007309991604559942,3.7125382459453626,38.852189055546454,0.15236152570802533,25.738575465344137,0.00229269999545;0.000252299942076;0.000204300042242;0.00019379996229;0.000194500084035;0.00019690010231;0.000197699991986;0.000199200003408;0.000193299958482;0.000196699984372;0.000192000064999;0.000193099956959;0.00226320000365;0.000206399941817;0.00019210006576,0.011997299967333674,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,0,30,255,16,7650,14,622592,,,956.25,True,10,15,True,True,,5.979998968541622e-05,5.3999945521354675e-05,0.00014320004265755415,2.2592624102744738e-05,0.3778031438064702,127.92644347003375,0.5016723273334657,7.816992115740683,6.07999972999e-05;6.01001083851e-05;5.95001038164e-05;5.94999874011e-05;5.97999896854e-05;5.9699988924e-05;5.95999881625e-05;0.000143200042658;8.70999647304e-05;6.15000026301e-05;6.00999919698e-05;5.99999912083e-05;5.50999538973e-05;5.49000687897e-05;5.39999455214e-05,0.010536800022237003,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,0,30,255,16,7650,,,1000,30,956.25,True,10,15,True,True,,0.0002128999913111329,0.00019770010840147734,0.002239900059066713,0.0007118887328671593,3.343770605545973,35.93236407802507,0.14091123167852965,27.830064223677503,0.000197700108401;0.000200599897653;0.000198900001124;0.000197999994271;0.00222460005898;0.00021420000121;0.000210999976844;0.000210799975321;0.000213199993595;0.000213899998926;0.000213899998926;0.000212899991311;0.00223990005907;0.000221399939619;0.000212899991311,0.011705499957315624,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,0,30,255,16,7650,14,622592,1000,30,956.25,True,10,15,True,True,,5.8999983593821526e-05,5.859998054802418e-05,6.0699996538460255e-05,5.235356208724011e-07,0.0088734875669902,129.66105300410808,0.508474717663169,7.7124161560551014,6.06999965385e-05;5.9699988924e-05;5.89999835938e-05;5.89999835938e-05;5.88999828324e-05;5.95999881625e-05;5.91001007706e-05;5.90999843553e-05;5.90999843553e-05;5.87999820709e-05;5.88999828324e-05;5.89999835938e-05;5.90999843553e-05;5.86000969633e-05;5.8599980548e-05,0.011296200100332499,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,0,100,255,16,25500,,,,,3187.5,True,10,15,True,True,,0.0007035000016912818,0.000633200048469007,0.0046715999487787485,0.001219686738309958,1.7337409173812561,36.24733466765536,0.14214641046139356,27.58823536044242,0.000703500001691;0.00272170000244;0.000697299954481;0.000695700058714;0.00467159994878;0.000633200048469;0.000693299924023;0.00151790003292;0.000648199929856;0.000732400105335;0.00266050000209;0.000704500009306;0.00069410004653;0.00271359994076;0.000696200062521,0.03791700000874698,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,0,100,255,16,25500,14,622592,,,3187.5,True,10,15,True,True,,8.889997843652964e-05,8.460006210952997e-05,0.0021458000410348177,0.0005312114207834396,5.975383010499821,286.8392146822149,1.1248596654204506,3.4862736641776326,8.60999571159e-05;8.46000621095e-05;8.46999464557e-05;0.00214580004103;9.25000058487e-05;8.97999852896e-05;9.08999936655e-05;8.79999715835e-05;8.92999814823e-05;8.88999784365e-05;8.8700093329e-05;8.79999715835e-05;8.88999784365e-05;8.87999776751e-05;8.8999979198e-05,0.012038600048981607,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,0,100,255,16,25500,,,1000,100,3187.5,True,10,15,True,True,,0.0007076999172568321,0.0006175000453367829,0.0032124000135809183,0.0010600765194822277,1.497918105729429,36.0322212539496,0.14130282844686118,27.752937931640474,0.000710299937055;0.000692800036632;0.00302760000341;0.000698499963619;0.000696600065567;0.00267710001208;0.000707699917257;0.000617500045337;0.0026821999345;0.000696000060998;0.000692800036632;0.00271099992096;0.000697700073943;0.000878099934198;0.00321240001358,0.04160200001206249,psutil cpu_affinity set to 2,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,0,100,255,16,25500,14,622592,1000,100,3187.5,True,10,15,True,True,,9.009998757392168e-05,8.889997843652964e-05,0.002136100083589554,0.0005280657433661269,5.860885862308032,283.0189069568824,1.109878066497578,3.5333328460361444,9.23000043258e-05;8.97999852896e-05;9.0999994427e-05;8.92999814823e-05;9.03999898583e-05;8.90999799594e-05;0.00213610008359;0.000102199963294;9.0999994427e-05;8.90999799594e-05;9.00999875739e-05;9.18000005186e-05;8.88999784365e-05;8.91000963748e-05;8.91999807209e-05,0.014009100035764277,psutil cpu_affinity set to 2,42
